Marca,Categoria,Producto_archivo,Precio_archivo_USD,Estado_archivo,Stock_nuevo_propuesto,WC_ID,Producto_WC,Precio_WC_USD,Stock_WC_actual,Match,Observacion
XTLABS,Inyectables Blend,TRIPLE XXX,79.99,Disponible,100,14259,Triple XXX 200 mg Tritrenbolona: Masa Dura + Fuerza,49.99,42,MATCH,PRECIO_DIFIERE
XTLABS,SARMS,OSTARINE (MK2866),64.99,Disponible,100,14262,Ostarine 10 mg: Masa Magra + Fuerza Segura,48.99,29,MATCH,PRECIO_DIFIERE
XTLABS,SARMS,IBUTAMOREN (MK677),64.99,Disponible,100,14265,Ibutamoren 15 mg : Masa Magra + Recuperación,48.99,28,MATCH,PRECIO_DIFIERE
XTLABS,SARMS,CARDARINE (GW-501516),64.99,Agotado,0,14268,Cardarine 10 mg : Resistencia + Quema Grasa,48.99,10,MATCH,PRECIO_DIFIERE
XTLABS,SARMS,LIGANDROL (LGD-4033),64.99,Disponible,100,14271,Ligandrol 5 mg : Masa Magra + Fuerza Rápida,48.99,31,MATCH,PRECIO_DIFIERE
XTLABS,Orales,METHANDROPLEX 20MG - 100TAB,59.99,Disponible,100,14274,Methandroplex 20 mg: Volumen Rápido + Fuerza,48.99,57,MATCH,PRECIO_DIFIERE
XTLABS,Orales,PROVIX 25MG - 50TAB,59.99,Agotado,0,14277,PROVIX 25MG - 50TAB,48.99,,MATCH,PRECIO_DIFIERE
XTLABS,Orales,STANOPLEX 10MG - 60TAB,59.99,Disponible,100,14280,Stanoplex 10 mg Estanozolol: Definición Dura + Fuerza,48.99,93,MATCH,PRECIO_DIFIERE
XTLABS,Orales,OXANDROPLEX 10MG - 60TAB,59.99,Disponible,100,14283,Oxandroplex 10 mg Oxandrolona: Definición + Fuerza Magra,48.99,50,MATCH,PRECIO_DIFIERE
XTLABS,Orales,CLEMBUTEROL 0.40MCG - 60TAB,59.99,Agotado,0,14321,Klembuterol 0.40mcg 50 comp,37.99,,MATCH,PRECIO_DIFIERE
XTLABS,Orales,CLEMBUTEROL ULTRA 0.60MCG,64.99,Disponible,100,14290,CLEMBUTEROL ULTRA 0.60MCG,51.99,,MATCH,PRECIO_DIFIERE
XTLABS,Orales,ARIMIDEXT 1MG - 30TAB,59.99,Disponible,100,14293,Arimidex 1 mg Anastrozol: Control Estrógenos + Seco,48.99,25,MATCH,PRECIO_DIFIERE
XTLABS,Orales,CLOMIXT 50MG - 30TAB,59.99,Disponible,100,14297,CLOMIXT 50MG - 30TAB,48.99,,MATCH,PRECIO_DIFIERE
XTLABS,Hormonas / Péptidos,HCG 10.000UI XTLABS,74.99,Disponible,100,14299,HCG 10.000 UI | Recuperación de Testosterona,64.99,1,MATCH,PRECIO_DIFIERE
GENTROPIN,Hormona,GENTROPIN 210UI,350.0,Disponible,100,14309,Gentropin 210 UI: Masa Magra + Recuperación,350.0,40,MATCH,OK_PRECIO
PFIZER,Hormona,GENOTROPIN 36UI,160.0,Agotado,0,14313,GENOTROPIN 36UI Pfizer,199.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Stanozolol 50mg - 30ml,89.0,Agotado,0,13980,"STANOZOLAND DEPOT 50MG, Stanozolol 30ml",49.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Stanozolol 50mg - 15ml,64.99,Disponible,100,13975,"STANOZOLAND DEPOT 50MG, Stanozolol 15ml",38.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Decanoato de nandrolona Gold 10ml,64.99,Disponible,100,14100,DECALAND DEPOT 200mg / Decanoato de Nandrolona 200mg/ml,49.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Deca - NPP Gold 10ml,64.99,Disponible,100,14992,DECAPRIME NPP 100 MG,,1,MATCH,OK_PRECIO
LANDERLAN,Inyectables,Boldenona 200mg Gold 10ml,64.99,Disponible,100,14556,Boldenona 250 mg: Volumen Magro + Resistencia,58.99,44,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Drostanolona P Gold (Masteron) 10ml,74.99,Disponible,100,14095,Drostanolona Propionato 10ml: Definición Dura + Fuerza Seca,49.99,80,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Primoboland Enantato Gold 10ml,99.99,Disponible,100,14005,PRIMOBOLAND ENANTATO GOLD 10ml,69.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Durateston plus Gold 10ml,74.99,Disponible,100,14092,Durateston Plus Gold 10ml: Volumen Sostenido + Fuerza,51.99,125,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Testo cypionato Gold 10ml,74.99,Disponible,100,13987,Testoland Depot - 200 mg - Cipionato - Ganacia de Músculo + Fuerza,51.99,100,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Testo Enantato Gold 10ml,74.99,Disponible,100,13990,Testenat Depot - 250 mg - Ganancia de Músculo + Fuerza Máxima,42.82,400,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Testo Propionato 100mg x 10ml,64.99,Disponible,100,14068,TESTOSTERONA PROPINATO 100mg,51.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Trembolona Enantato Gold 10ml,74.99,Disponible,100,14077,TREMBOLONA ENANTADO GOLD,51.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Inyectables,Trembolona Acetato Gold 10ml,84.99,Disponible,100,14074,TREMBOLONA ACETATO GOLD,56.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Orales,Clembutebol lander Gold comp,64.99,Disponible,100,,,,,NO_EXISTE_WC,Requiere crear producto
LANDERLAN,Orales,Oxymetalona 50mg x 20 comp,34.99,Disponible,100,14331,Oxymetalona 50mg por 50 comp,44.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Orales,Dianabol 10mg x 100 comp,64.99,Agotado,0,14318,Methandrostenolona 10mg (Dianabol) 50 comp,37.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Orales,Stanozoland oral 10mg x 100 comp,64.99,Disponible,100,14578,Stanozoland 10 mg: Definición Seca + Fuerza,47.99,18,MATCH,PRECIO_DIFIERE
LANDERLAN,Orales,Oxandrolona 10mg x 50 comp,74.99,Disponible,100,14329,Oxandrolona 10mg 50 comp,44.99,,MATCH,PRECIO_DIFIERE
LANDERLAN,Orales,Oxandrolona 5mg x 100 comp,74.99,Disponible,100,14047,Oxandroland 5 mg - Oxandrolona: Corte Seco + Fuerza,64.99,160,MATCH,PRECIO_DIFIERE
LANDERLAN,Orales,Metil Drostanolona 10mg x 50 comp,64.99,Agotado,0,14065,DROSTENOLAND METIL DROSTANOLONA 10mg,58.99,,MATCH,PRECIO_DIFIERE
EMINENCE LABS,Orales,Stanozolol 50mg x 50 comp,49.99,Disponible,100,,,,,NO_EXISTE_WC,SIN MAPEO
