Marca,Categoria,Producto_archivo,Precio_archivo,Estado_archivo,Stock_nuevo,WC_ID,Producto_WC,Precio_WC,Stock_WC,Cambia_precio,Cambia_stock
LANDERLAN,Orales,Oxandrolona 5mg x 100 comp,74.99,Disponible,100,14047,Oxandroland 5 mg - Oxandrolona: Corte Seco + Fuerza,64.99,160,SI,SI
LANDERLAN,Orales,Metil Drostanolona 10mg x 50 comp,64.99,Agotado,0,14065,DROSTENOLAND METIL DROSTANOLONA 10mg,58.99,,SI,SI
EMINENCE LABS,Orales,Stanozolol 50mg x 50 comp,49.99,Disponible,100,14315,Stanozolol 50mg x 50 comp,37.99,,SI,SI
EMINENCE LABS,Orales,Methandrostenolona 10mg (Dianabol) 50 comp,49.99,Disponible,100,14318,Methandrostenolona 10mg (Dianabol) 50 comp,37.99,,SI,SI
EMINENCE LABS,Orales,Klembuterol 0.40mcg 50 comp,49.99,Agotado,0,14321,Klembuterol 0.40mcg 50 comp,37.99,,SI,SI
EMINENCE LABS,Orales,Klembuterol 0.60mcg 50 comp,49.99,Agotado,0,14326,Klembuterol 0.60mcg 50comp,44.99,,SI,SI
EMINENCE LABS,Orales,Oxandrolona 10mg 50 comp,59.99,Disponible,100,14329,Oxandrolona 10mg 50 comp,44.99,,SI,SI
EMINENCE LABS,Orales,Oxymetalona 50mg por 50 comp,49.99,Disponible,100,14331,Oxymetalona 50mg por 50 comp,44.99,,SI,SI
EMINENCE LABS,Orales,Anastrazol 1mg x 50 comp,49.99,Disponible,100,14338,Anastrazol 1 mg x 50 comp,47.99,,SI,SI
EMINENCE LABS,Orales,Clomifeno 50mg x 50 comp,49.99,Disponible,100,14340,Clomifeno 50mg 50 comp,46.99,,SI,SI
EMINENCE LABS,Orales,Masterolona 25mg (Proviron) 50 comp,59.99,Agotado,0,14344,Masterolona 25mg (Proviron) 50 comp,48.99,,SI,SI
EMINENCE LABS,Orales,Tamoxifeno 20mg,39.99,Disponible,100,14346,Tamoxifeno 20mg,39.99,,NO,SI
EMINENCE LABS,Inyectables,Testosterona Propionato 100mg,59.99,Disponible,100,14348,Testosterona Propionato 100mg,44.99,,SI,SI
EMINENCE LABS,Inyectables,Testosterona Sustanon Testo-mix,64.99,Disponible,100,14351,Testo-mix,51.99,200,SI,SI
EMINENCE LABS,Inyectables,Testosterona Cypionato 250mg,64.99,Disponible,100,14355,Testosterona Cypionato 250mg,49.99,,SI,SI
EMINENCE LABS,Inyectables,Testosterona Enantato 250mg,64.99,Disponible,100,14357,Testosterona Enantato 250mg,49.99,,SI,SI
EMINENCE LABS,Inyectables,Trembolona Enantato 200mg,64.99,Agotado,0,14599,Trembolona Enantato 200 mg: Masa + Fuerza Nuclear,69.99,80,SI,SI
EMINENCE LABS,Inyectables,Trembolona Acetato 100mg,74.99,Agotado,0,15193,Trembolona Acetato 100mg,57.93,99,SI,SI
EMINENCE LABS,Inyectables,Metenolona Enantato 100mg (Primoboland),89.99,Agotado,0,14366,Metenolona Enantato 100mg (Primoboland),75.99,,SI,SI
EMINENCE LABS,Inyectables,Boldenona Undecylenato 200mg,59.99,Agotado,0,14369,Boldenona Undecylenato 200mg,58.99,,SI,SI
EMINENCE LABS,Inyectables,Nandrolona (Deca) 200mg,59.99,Disponible,100,14372,Nandrolona (Deca) 200mg,51.99,,SI,SI
EMINENCE LABS,Inyectables,Nandrolona (NPP) 100mg,59.99,Agotado,0,14577,Nandrolona Fenil NPP 100 mg: Volumen Rápido + Articulaciones,49.99,160,SI,SI
EMINENCE LABS,Inyectables,Drostanolona Propionato 100mg,79.99,Agotado,0,14376,Drostanolona Propionato 100mg,58.99,,SI,SI
VMS MOLECULAR SCIENCE,Péptidos,GHK-CU 100 mg,130.0,Disponible,100,15236,GHK-Cu 100mg,130.0,9,NO,SI
VMS MOLECULAR SCIENCE,Péptidos,IGF1-LR3,120.0,Disponible,100,15248,IGF-1 LR3 1mg,120.0,84,NO,SI
VMS MOLECULAR SCIENCE,Péptidos,Semaglutide 5 mg,110.0,Disponible,100,15256,Semaglutide 5mg,110.0,60,NO,SI
VMS MOLECULAR SCIENCE,Péptidos,Tirzepatide 30 mg,160.0,Disponible,100,15223,Tirzepatide 30mg,160.0,98,NO,SI
VMS MOLECULAR SCIENCE,Péptidos,Retatrutide 30 mg,200.0,Disponible,100,15229,Retatrutide 30mg,200.0,49,NO,SI
